#,Name,Color,Parent,Start,Stop,Icon,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description
#,UNIX AND UNIX-LIKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,UNIX systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,NetBSD,#8B0000,BSD Net/2,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,NeXTBSD,#FF8585,FreeBSD,2015,2019.10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,News-OS [Sony],#FF8585,3BSD,1987,1993.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,NixBSD,#8B0000,FreeBSD,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,OpenBSD,#8B0000,NetBSD,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,OpenServer v10 [Xinuos],#FF8585,FreeBSD,2015,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,OPNsense,#8B0000,PFsense,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,OS/MP [Solbourne],#FF8585,SunOS [Sun],1991,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,PacBSD,#FF8585,FreeBSD,2012.4,2017.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,PC-BSD [iXsystems],#FF8585,FreeBSD,2006.4,2018.12,,,TrueOS,2016.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,PFsense,#8B0000,FreeBSD,2006.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,PicoBSD,#FF8585,FreeBSD,1998,2017.11.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Real Time UNIX [Concurrent],#FF8585,3BSD,1988,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,RetroBSD,#8B0000,BSD,2008.12.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,RT PC AOS [IBM],#FF8585,3BSD,1986,1991.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,StarBSD,#FF8585,FreeBSD,2009,2020.3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,SunOS [Sun],#FF8585,3BSD,1982,1994.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,UMAX 4.3 [Encore],#FF8585,3BSD,1986.1,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,UTEK [Tektronix],#FF8585,3BSD,1984,1990.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,UTX/32(S) [Gould],#FF8585,3BSD,1984,1989.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Mach (kernel),#FF8585,3BSD,1984.6,1996.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Lites,#FF8585,Mach (kernel),1994.3,1997.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Mach386 [mt Xinu],#FF8585,Mach (kernel),1992.3,1995.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,MachTen [Tenon],#FF8585,Mach (kernel),1991,2013.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Mach-US,#FF8585,Mach (kernel),1989,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
